timestamp,activity,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,NOSE_x,NOSE_y,NOSE_z,Left Knee,Right Knee,Trunk Inclination
59:51.2,approaching,0.522444189,0.451630533,-0.001243717,0.483794838,0.449740201,0.001209347,0.523058236,0.546352565,-0.015863286,0.479403794,0.55155158,0.010306161,0.516559541,0.629401863,0.138428226,0.480024338,0.635438263,0.139981136,0.539731324,0.312904865,-0.084729046,0.472149074,0.31041038,-0.075709239,0.548992693,0.414419204,-0.171714738,0.454053968,0.418073356,-0.1160748,0.506760836,0.262449294,-0.243998051,175.1542413,177.1065763,178.8377053
59:51.2,approaching,0.521291792,0.451794416,-0.001087278,0.482242435,0.450623304,0.001051227,0.523479581,0.54633677,-0.035872471,0.478285402,0.552404284,0.010562055,0.516596556,0.629381418,0.112049498,0.479745001,0.635967076,0.14304468,0.538374126,0.313392162,-0.090135798,0.470260441,0.310533702,-0.078756377,0.545534015,0.416128814,-0.177198127,0.451969326,0.418789029,-0.118786618,0.50592196,0.261834592,-0.247926071,173.9363239,176.7728918,178.9507942
59:51.3,approaching,0.520725191,0.452565521,-0.001967824,0.481657326,0.451681614,0.001938332,0.523650765,0.546554148,-0.027507761,0.477589458,0.552596807,0.02657247,0.518061161,0.629660428,0.112677231,0.4799079,0.636108458,0.167798802,0.537146986,0.313537508,-0.091758482,0.468858659,0.310615242,-0.078327127,0.544158876,0.416698247,-0.174193159,0.451350063,0.419291139,-0.116019294,0.505212128,0.261873931,-0.24737975,174.3693021,176.1014391,179.2588985
59:51.3,approaching,0.520437539,0.452630401,-0.001977687,0.481526196,0.45176515,0.001945993,0.523503661,0.546792626,0.006622494,0.477701336,0.553243399,0.025256366,0.518843353,0.631423295,0.139975965,0.47986117,0.6364609,0.163045138,0.536859214,0.313563645,-0.09081728,0.468680292,0.310690761,-0.070911646,0.544216335,0.416803569,-0.131700382,0.451399893,0.419035852,-0.100006878,0.50250566,0.257850111,-0.233497947,174.9830959,176.3547366,179.2687061
59:51.4,approaching,0.520490289,0.452333748,-0.002668549,0.481630325,0.451698273,0.002627065,0.523436129,0.546780646,0.008732522,0.477755219,0.553003371,0.024462948,0.51940912,0.631787837,0.143373221,0.479951531,0.636465788,0.162070245,0.536592484,0.313291669,-0.090488404,0.46881628,0.310740471,-0.07190787,0.54454881,0.416833967,-0.131354451,0.451632977,0.419306278,-0.10035304,0.501968026,0.257506013,-0.238237351,175.501278,176.3020094,179.3271838
59:51.5,approaching,0.52054131,0.452071756,-0.002798241,0.48166728,0.451617509,0.002752809,0.52333796,0.546778321,0.009151594,0.477799505,0.552816272,0.023670534,0.519664049,0.632012665,0.142934293,0.480012029,0.636419952,0.15706861,0.536414146,0.313134611,-0.088692389,0.468857944,0.310783476,-0.071822003,0.544771075,0.416846871,-0.124123797,0.451842219,0.419470012,-0.099794105,0.501852095,0.257212341,-0.238171101,175.840439,176.2952974,179.3726352
59:51.5,approaching,0.520689368,0.452023834,-0.001969424,0.481722504,0.451602668,0.001907991,0.523291469,0.546828985,0.008296328,0.477759421,0.552855611,0.018930413,0.519695103,0.63244164,0.141169012,0.479953229,0.636190236,0.148425683,0.536445498,0.3131181,-0.077733137,0.468993247,0.310820013,-0.071000636,0.546306372,0.416548043,-0.09332148,0.451950461,0.419846922,-0.098795056,0.502020836,0.255373389,-0.230010003,176.0223747,176.2505831,179.3799518
59:51.6,approaching,0.525077462,0.452012271,-0.001918663,0.486149371,0.451564401,0.00185951,0.524343193,0.547300458,0.010563235,0.480186373,0.55256176,0.018096697,0.520113707,0.632591128,0.138781562,0.480489433,0.63616395,0.141493753,0.53932935,0.312762797,-0.073954269,0.473059952,0.311130404,-0.069960713,0.551770091,0.416249484,-0.091456518,0.456893384,0.420181751,-0.098878942,0.502990544,0.255974859,-0.228300169,177.6025803,176.4134176,179.7618586
59:51.7,approaching,0.526923239,0.452291518,0.000269223,0.488145739,0.451590329,-0.00032952,0.52490443,0.547832787,0.014396012,0.481053978,0.552528501,0.013703495,0.520068467,0.633160472,0.140484378,0.480697095,0.636120081,0.136016876,0.5415591,0.312776208,-0.068875916,0.476063311,0.311380565,-0.069681138,0.555725753,0.41607973,-0.072698936,0.459374607,0.42045036,-0.098244727,0.503920674,0.256030917,-0.224832624,177.9667137,176.2257058,179.4769976
59:51.7,approaching,0.529237628,0.454125553,-0.000462914,0.490264744,0.452490866,0.000418672,0.525641322,0.548028052,0.013874362,0.483295977,0.552468956,0.017961256,0.520057082,0.633287668,0.139116451,0.483098119,0.636039853,0.139211535,0.546038985,0.31285888,-0.070942901,0.4799366,0.311707139,-0.058793746,0.558571458,0.417479962,-0.091806449,0.461514235,0.420462132,-0.087923631,0.507418275,0.259567589,-0.221529096,178.4459158,176.1484148,178.6852608
